author,conference
Elisa Martinez Marroquin,ICPR
Elisa Martinez Marroquin,IWANN
Jonathan Masci,IJCNN
Giuseppe Mastronardi,ICIC
Giuseppe Mastronardi,ICIC
Leonardo Nogueira Matos,CIARP
Leonardo Nogueira Matos,ICPR
T. Martin McGinnity,IJCNN
Ueli Meier,IJCNN
Hairong Mi,ICNC
Tova Milo,BIRTHDAY
Tova Milo,CIDR
Tova Milo,CIDR
Tova Milo,CIDR
Tova Milo,CIDR
Tova Milo,CIKM
Tova Milo,DASFAA
Tova Milo,DEXA
Tova Milo,DNIS
Tova Milo,EDBT
Tova Milo,EDBT
Tova Milo,EDBT
Tova Milo,F-EGC
Tova Milo,ICDE
Tova Milo,ICDE
Tova Milo,ICDE
Tova Milo,ICDE
Tova Milo,ICDE
Tova Milo,ICDE
Tova Milo,ICDT
Tova Milo,ICDT
Tova Milo,ICDT
Tova Milo,ICDT
Tova Milo,ICDT
Tova Milo,ICDT
Tova Milo,PODS
Tova Milo,PODS
Tova Milo,PODS
Tova Milo,PODS
Tova Milo,SIGMOD
Tova Milo,SIGMOD
Tova Milo,SIGMOD
Tova Milo,SIGMOD
Tova Milo,SIGMOD
Tova Milo,SIGMOD
Tova Milo,WEBDB
Hossein Nejati,ICB
Juhan Nam,ICML
Arnab Nandi,DNIS
Arnab Nandi,SIGMOD
Luiz Antonio Pereira Neves,DAS
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICML
Andrew Y. Ng,ICPR
Andrew Y. Ng,IROS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,NIPS
Andrew Y. Ng,UAI
Jiquan Ngiam,ICML
Jiquan Ngiam,ICML
Jiquan Ngiam,NIPS
Jiquan Ngiam,NIPS
Mark S. Nixon,ICPR
Mark S. Nixon,ICPR
Mark S. Nixon,ICPR
Slava Novgorodov,CIDR
Slava Novgorodov,CIKM
Slava Novgorodov,ICDE
Slava Novgorodov,ICDE
Slava Novgorodov,ICDE
Slava Novgorodov,SIGMOD
Frank Olken,CIDR
Kunle Olukotun,NIPS
Beng Chin Ooi,SIGMOD
Jielin Pan,ICNC
Debmalya Panigrahi,PODS
Anisoara Paraschiv-Ionescu,ICA
Derek Partridge,ICAISC
Derek Partridge,MCS
Yun Peng,IJCNN
Eanes Torres Pereira,CIARP
Herbert Peremans,IROS
Son Pham,WABI
Michele Piccinni,ICIC
Olivier Pietquin,ICONIP
Santiago Planet,IWANN
Neoklis Polyzotis,ICDE
Girijesh Prasad,ICPR
Girijesh Prasad,IJCNN
Hong Qin,ICML
Hong Qin,ICML
Louiqa Raschid,CIDR
Bertrand Rivet,ICA
Sudeepa Roy,CIDR
Sudeepa Roy,ICDT
Sudeepa Roy,ICDT
Sudeepa Roy,ICDT
Sudeepa Roy,ICDT
Sudeepa Roy,PODS
M. Rude,IROS
Stuart J. Russell,ICML
Stuart J. Russell,NIPS
Ignasi Iriondo Sanz,IWANN
Abdul Rehman Satti,ICPR
Andrew M. Saxe,ICML
Antonio Scarpa,ICIC
Antonio Scarpa,ICIC
Christian Schellewald,DAGM
Vitaly Schetinin,ICAISC
Filips Schillebeeckx,IROS
Eckhard Schleicher,BILDMED
Jurgen Schmidhuber,IJCNN
Christoph Schnorr,DAGM
Julia A. Schnabel,BILDMED
Shai Shalev-Shwartz,ICML
Terence Sim,ICB
Terence Sim,ICPR
Yoram Singer,ICML
Richard Socher,NIPS
Richard Socher,NIPS
Jill Stewart,ICANN
Julia Stoyanovich,CIDR
Julia Stoyanovich,CIDR
Julia Stoyanovich,EDBT
Julia Stoyanovich,ICDE
Dan Suciu,ICDT
Masashi Sugiyama,NIPS
Bipin Suresh,ICML
Taiji Suzuki,NIPS
Taiji Suzuki,NIPS
Ichiro Takeuchi,NIPS
Min Tan,IJCNN
Min Tan,IJCNN
Wang Chiew Tan,ICDE
Christine Tanner,BILDMED
Diego Taurino,ICIC
Diego Taurino,ICIC
Georg Thallinger,ICPR
Ryota Tomioka,NIPS
Luciana R. Veloso,ICDAR
Vincent Vigneron,ICA
Hua-Yan Wang,ICML
Hua-Yan Wang,ICML
Jiannan Wang,SIGMOD
Tao Wang,ICPR
Wenjia Wang,MCS
Xiuqing Wang,IJCNN
Yoko Watanabe,IROS
Oliver Weiß,BILDMED
Thomas Wittenberg,BILDMED
Gerhard J. Woeginger,COLT
Eric P. Xing,NIPS
Chew-Yean Yam,ICPR
Shinji Yamashita,IROS
Ning Ye,ICPR
YuanYuan Yu,NIPS
Yong Zeng,ICDE
Hongbin Zha,ICML
Hongbin Zha,ICML
Jing Zhang,ICDE
Zhen Zhang,ICNC
Tiejun Zhao,ICIC
Zeng-Shun Zhao,IJCNN
Conghui Zhu,ICIC
Qiang Zhu,ICDE
Jianfeng Zou,ICNC
